,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,169104000000.0,102300000000.0,66804000000.0,10608000000.0,52285000000.0,39672000000.0,1.5097,57381000000.0,52285000000.0,26309610000.0,39137000000.0,13336000000.0,1245000000.0,63337000000.0,131406000000.0,194743000000.0,0.0,35508000000.0,0.0,23745000000.0,59253000000.0,135490000000.0,5096000000.0,55255000000.0,-9842000000.0,-44501000000.0,-7472000000.0,-8822000000.0,15.81
2013-06-30,169404000000.0,104570000000.0,64834000000.0,10708000000.0,49913000000.0,37748000000.0,1.4415,55868000000.0,49913000000.0,25721290000.0,42606000000.0,13453000000.0,1697000000.0,68219000000.0,131637000000.0,199856000000.0,0.0,36319000000.0,16958000000.0,40183000000.0,76502000000.0,123354000000.0,5955000000.0,52894000000.0,-9671000000.0,-38698000000.0,-10283000000.0,-10893000000.0,14.16
2013-09-30,170910000000.0,106606000000.0,64304000000.0,10830000000.0,48999000000.0,37037000000.0,1.4254,55756000000.0,48999000000.0,25909280000.0,40546000000.0,20641000000.0,1764000000.0,73286000000.0,133714000000.0,207000000000.0,0.0,43658000000.0,16960000000.0,39793000000.0,83451000000.0,123549000000.0,6757000000.0,53666000000.0,-8165000000.0,-33774000000.0,-10564000000.0,-16379000000.0,17.03
2013-12-31,173992000000.0,108902000000.0,65090000000.0,11043000000.0,49252000000.0,37031000000.0,1.449,56565000000.0,49252000000.0,25090020000.0,40711000000.0,25198000000.0,2122000000.0,80347000000.0,144837000000.0,225184000000.0,0.0,53769000000.0,16961000000.0,41731000000.0,95500000000.0,129684000000.0,7313000000.0,52910000000.0,-7833000000.0,-35356000000.0,-10840000000.0,-19631000000.0,20.04
2014-03-31,176035000000.0,109347000000.0,66688000000.0,11303000000.0,50287000000.0,37707000000.0,1.5036,57795000000.0,50287000000.0,24493210000.0,41350000000.0,15820000000.0,1829000000.0,70541000000.0,135448000000.0,205989000000.0,0.0,43208000000.0,16962000000.0,42602000000.0,85810000000.0,120179000000.0,7508000000.0,53944000000.0,-7207000000.0,-9258000000.0,-11010000000.0,-37790000000.0,19.17
2014-06-30,178144000000.0,109745000000.0,68399000000.0,11508000000.0,51368000000.0,38555000000.0,1.5579,59128000000.0,51368000000.0,24050540000.0,37805000000.0,16841000000.0,1594000000.0,67949000000.0,154571000000.0,222520000000.0,2010000000.0,46205000000.0,29030000000.0,55375000000.0,101580000000.0,120940000000.0,7760000000.0,56371000000.0,-7700000000.0,-24965000000.0,-11066000000.0,-29677000000.0,23.23
2014-09-30,182795000000.0,112258000000.0,70537000000.0,11993000000.0,52503000000.0,39510000000.0,1.6186,60449000000.0,52503000000.0,24342290000.0,25077000000.0,27219000000.0,2111000000.0,68531000000.0,163308000000.0,231839000000.0,6308000000.0,63448000000.0,28987000000.0,56844000000.0,120292000000.0,111547000000.0,7946000000.0,59713000000.0,-9571000000.0,-22579000000.0,-11126000000.0,-37549000000.0,25.19
2014-12-31,199800000000.0,121368000000.0,78432000000.0,12540000000.0,59286000000.0,44462000000.0,1.8675000000000002,67663000000.0,59286000000.0,23372330000.0,32463000000.0,29976000000.0,2283000000.0,83403000000.0,178491000000.0,261894000000.0,3899000000.0,73611000000.0,32504000000.0,64955000000.0,138566000000.0,123328000000.0,8377000000.0,70765000000.0,-10803000000.0,-28641000000.0,-11158000000.0,-36723000000.0,27.59
2015-03-31,212164000000.0,128023000000.0,84141000000.0,13068000000.0,63971000000.0,47808000000.0,2.035,72940000000.0,63971000000.0,23175200000.0,33096000000.0,18164000000.0,2396000000.0,67891000000.0,193303000000.0,261194000000.0,3799000000.0,58729000000.0,40072000000.0,73459000000.0,132188000000.0,129006000000.0,8969000000.0,76308000000.0,-11790000000.0,-62713000000.0,-11240000000.0,-18055000000.0,31.11
2015-06-30,224337000000.0,135250000000.0,89087000000.0,13782000000.0,67772000000.0,50737000000.0,2.1775,77879000000.0,67772000000.0,22919540000.0,34703000000.0,19907000000.0,2042000000.0,70953000000.0,202198000000.0,273151000000.0,6999000000.0,65285000000.0,47419000000.0,82189000000.0,147474000000.0,125677000000.0,10107000000.0,81041000000.0,-11455000000.0,-51902000000.0,-11426000000.0,-26797000000.0,31.36
2015-09-30,233715000000.0,140089000000.0,93626000000.0,14329000000.0,71230000000.0,53394000000.0,2.3125,82487000000.0,71230000000.0,23013680000.0,41601000000.0,30343000000.0,2349000000.0,89378000000.0,200967000000.0,290345000000.0,10999000000.0,80610000000.0,53329000000.0,90380000000.0,170990000000.0,119355000000.0,11257000000.0,81266000000.0,-11247000000.0,-56274000000.0,-11561000000.0,-17716000000.0,27.58
2015-12-31,234988000000.0,140680000000.0,94308000000.0,14577000000.0,71155000000.0,53731000000.0,2.3675,82791000000.0,71155000000.0,22235720000.0,38074000000.0,24621000000.0,2451000000.0,76219000000.0,217065000000.0,293284000000.0,9759000000.0,76092000000.0,53204000000.0,88925000000.0,165017000000.0,128267000000.0,11636000000.0,75007000000.0,-11642000000.0,-55559000000.0,-11729000000.0,-22237000000.0,26.32
2016-03-31,227535000000.0,136962000000.0,90573000000.0,14540000000.0,66864000000.0,50678000000.0,2.26,78498000000.0,66864000000.0,22057520000.0,55283000000.0,19824000000.0,2281000000.0,87592000000.0,217685000000.0,305277000000.0,10498000000.0,68265000000.0,69374000000.0,106555000000.0,174820000000.0,130457000000.0,11634000000.0,67527000000.0,-11609000000.0,-46888000000.0,-11888000000.0,-13614000000.0,27.25
2016-06-30,220288000000.0,133290000000.0,86998000000.0,14417000000.0,62886000000.0,47797000000.0,2.1525,73962000000.0,62886000000.0,21772230000.0,61756000000.0,19042000000.0,1831000000.0,93761000000.0,211841000000.0,305602000000.0,15996000000.0,71486000000.0,68939000000.0,107575000000.0,179061000000.0,126541000000.0,11076000000.0,63173000000.0,-12375000000.0,-39955000000.0,-12022000000.0,-20300000000.0,23.9
2016-09-30,215639000000.0,131376000000.0,84263000000.0,14194000000.0,60024000000.0,45687000000.0,2.08,70529000000.0,60024000000.0,21883280000.0,67155000000.0,29299000000.0,2132000000.0,106869000000.0,214817000000.0,321686000000.0,11605000000.0,79006000000.0,75427000000.0,114431000000.0,193437000000.0,128249000000.0,10505000000.0,66231000000.0,-12734000000.0,-45977000000.0,-12150000000.0,-20890000000.0,28.26
2016-12-31,218118000000.0,134102000000.0,84016000000.0,14292000000.0,59212000000.0,45217000000.0,2.1,69750000000.0,59212000000.0,21194640000.0,60452000000.0,27977000000.0,2712000000.0,103332000000.0,227809000000.0,331141000000.0,13992000000.0,84130000000.0,73557000000.0,114621000000.0,198751000000.0,132390000000.0,10538000000.0,66002000000.0,-12456000000.0,-44649000000.0,-12311000000.0,-21671000000.0,28.95
2017-03-31,220457000000.0,135771000000.0,84686000000.0,14587000000.0,59322000000.0,45730000000.0,2.15,69715000000.0,59322000000.0,20903160000.0,67101000000.0,20612000000.0,2910000000.0,101990000000.0,232542000000.0,334532000000.0,13991000000.0,73342000000.0,84531000000.0,127108000000.0,200450000000.0,134082000000.0,10393000000.0,66971000000.0,-13095000000.0,-45191000000.0,-12413000000.0,-28137000000.0,35.92
2017-06-30,223507000000.0,137439000000.0,86068000000.0,14929000000.0,59985000000.0,46651000000.0,2.2125,70206000000.0,59985000000.0,20780350000.0,76759000000.0,22632000000.0,3146000000.0,112875000000.0,232298000000.0,345173000000.0,18475000000.0,81302000000.0,89864000000.0,131446000000.0,212748000000.0,132425000000.0,10221000000.0,65009000000.0,-12563000000.0,-43901000000.0,-12591000000.0,-20774000000.0,36.01
2017-09-30,229234000000.0,141048000000.0,88186000000.0,15261000000.0,61344000000.0,48351000000.0,2.3125,71501000000.0,61344000000.0,20868970000.0,74181000000.0,35673000000.0,4855000000.0,128645000000.0,246674000000.0,375319000000.0,18473000000.0,100814000000.0,97207000000.0,140458000000.0,241272000000.0,134047000000.0,10157000000.0,64225000000.0,-12451000000.0,-46446000000.0,-12769000000.0,-17974000000.0,38.53
2017-12-31,239176000000.0,147254000000.0,91922000000.0,15546000000.0,64259000000.0,50525000000.0,2.4475,74174000000.0,64259000000.0,20451510000.0,77153000000.0,50899000000.0,4421000000.0,143810000000.0,262984000000.0,406794000000.0,18478000000.0,115788000000.0,103922000000.0,150807000000.0,266595000000.0,140199000000.0,9915000000.0,65284000000.0,-11927000000.0,-40914000000.0,-12978000000.0,-13250000000.0,42.31
2018-03-31,247417000000.0,152664000000.0,94753000000.0,15978000000.0,66056000000.0,53318000000.0,2.6075,76378000000.0,66056000000.0,20099510000.0,87940000000.0,22408000000.0,7662000000.0,130053000000.0,237449000000.0,367502000000.0,20478000000.0,89320000000.0,101362000000.0,151304000000.0,240624000000.0,126878000000.0,10322000000.0,67844000000.0,-13147000000.0,1998000000.0,-13164000000.0,-39940000000.0,41.94
2018-06-30,255274000000.0,157588000000.0,97686000000.0,16303000000.0,67900000000.0,56120000000.0,2.7775,78533000000.0,67900000000.0,19528670000.0,70970000000.0,26367000000.0,5936000000.0,115761000000.0,233436000000.0,349197000000.0,17472000000.0,88548000000.0,97128000000.0,145700000000.0,234248000000.0,114949000000.0,10633000000.0,73660000000.0,-14137000000.0,9125000000.0,-13452000000.0,-69385000000.0,46.28
2018-09-30,265595000000.0,163756000000.0,101839000000.0,16705000000.0,70898000000.0,59531000000.0,2.9925,81801000000.0,70898000000.0,19821510000.0,66301000000.0,48995000000.0,3956000000.0,131339000000.0,234386000000.0,365725000000.0,20748000000.0,115929000000.0,93735000000.0,142649000000.0,258578000000.0,107147000000.0,10903000000.0,77434000000.0,-13313000000.0,16066000000.0,-13712000000.0,-87876000000.0,56.44
2018-12-31,261612000000.0,161654000000.0,99958000000.0,17257000000.0,67970000000.0,59431000000.0,3.0675,79523000000.0,67970000000.0,18943280000.0,86427000000.0,36981000000.0,4988000000.0,140828000000.0,232891000000.0,373719000000.0,21741000000.0,108283000000.0,92989000000.0,147544000000.0,255827000000.0,117892000000.0,11553000000.0,75831000000.0,-13858000000.0,35500000000.0,-13941000000.0,-94051000000.0,39.44
2019-03-31,258490000000.0,160133000000.0,98357000000.0,17565000000.0,65491000000.0,57170000000.0,2.9975,77345000000.0,65491000000.0,18696280000.0,80092000000.0,26278000000.0,4884000000.0,123346000000.0,218652000000.0,341998000000.0,22429000000.0,93772000000.0,90201000000.0,142366000000.0,236138000000.0,105860000000.0,11854000000.0,71856000000.0,-12026000000.0,20138000000.0,-14194000000.0,-97236000000.0,47.49
2019-06-30,259034000000.0,160871000000.0,98163000000.0,17883000000.0,64423000000.0,55695000000.0,2.9575,76545000000.0,64423000000.0,18282530000.0,94614000000.0,26474000000.0,3355000000.0,134973000000.0,187266000000.0,322239000000.0,23482000000.0,89704000000.0,84936000000.0,136079000000.0,225783000000.0,96456000000.0,12122000000.0,69004000000.0,-10759000000.0,43693000000.0,-14170000000.0,-92517000000.0,49.48
2019-09-30,260174000000.0,161782000000.0,98392000000.0,18245000000.0,63930000000.0,55256000000.0,2.985,76477000000.0,63930000000.0,18471340000.0,100557000000.0,45804000000.0,4106000000.0,162819000000.0,175697000000.0,338516000000.0,16240000000.0,105718000000.0,91807000000.0,142310000000.0,248028000000.0,90488000000.0,12547000000.0,69391000000.0,-10495000000.0,45896000000.0,-14119000000.0,-90976000000.0,55.99
2019-12-31,267683000000.0,166105000000.0,101578000000.0,18659000000.0,66153000000.0,57527000000.0,3.19,78121000000.0,66153000000.0,17660160000.0,107162000000.0,39946000000.0,4097000000.0,163231000000.0,177387000000.0,340618000000.0,15214000000.0,102161000000.0,93078000000.0,148926000000.0,251087000000.0,89531000000.0,11968000000.0,73217000000.0,-9247000000.0,26384000000.0,-14090000000.0,-102707000000.0,73.41
2020-03-31,267981000000.0,165854000000.0,102127000000.0,19153000000.0,65591000000.0,57215000000.0,3.2175,77305000000.0,65591000000.0,17440400000.0,94051000000.0,30677000000.0,3334000000.0,143753000000.0,176647000000.0,320400000000.0,20421000000.0,96094000000.0,89086000000.0,145881000000.0,241975000000.0,78425000000.0,11714000000.0,75373000000.0,-8737000000.0,22049000000.0,-14022000000.0,-94190000000.0,63.57
2020-06-30,273857000000.0,169277000000.0,104580000000.0,19558000000.0,67138000000.0,58424000000.0,3.32,78671000000.0,67138000000.0,17250290000.0,93025000000.0,32075000000.0,3978000000.0,140065000000.0,177279000000.0,317344000000.0,18675000000.0,95318000000.0,94048000000.0,149744000000.0,245062000000.0,72282000000.0,11533000000.0,80008000000.0,-8302000000.0,-10618000000.0,-14049000000.0,-86502000000.0,91.2
2020-09-30,274515000000.0,169559000000.0,104956000000.0,19916000000.0,66288000000.0,57411000000.0,3.2975,77344000000.0,66288000000.0,17352120000.0,90943000000.0,37445000000.0,4061000000.0,143713000000.0,180175000000.0,323888000000.0,13769000000.0,105392000000.0,98667000000.0,153157000000.0,258549000000.0,65339000000.0,11056000000.0,80674000000.0,-7309000000.0,-4289000000.0,-14081000000.0,-86820000000.0,115.81
2020-12-31,294239000000.0,179823000000.0,114416000000.0,20350000000.0,74253000000.0,63930000000.0,3.7175000000000002,85508000000.0,74253000000.0,16935000000.0,76826000000.0,58620000000.0,4973000000.0,154106000000.0,199948000000.0,354054000000.0,12762000000.0,132507000000.0,99281000000.0,155323000000.0,287830000000.0,66224000000.0,10906000000.0,88921000000.0,-8702000000.0,795000000.0,-14155000000.0,-93662000000.0,132.69
2021-03-31,325824000000.0,194979000000.0,130845000000.0,20712000000.0,88903000000.0,76311000000.0,4.4725,100889000000.0,88903000000.0,16753000000.0,69834000000.0,33036000000.0,5219000000.0,121465000000.0,215693000000.0,337158000000.0,13003000000.0,106385000000.0,108642000000.0,161595000000.0,267980000000.0,69178000000.0,10917000000.0,99591000000.0,-9118000000.0,-18586000000.0,-14227000000.0,-84048000000.0,122.15
2021-06-30,347633000000.0,204052000000.0,143581000000.0,21293000000.0,99938000000.0,86802000000.0,5.12,112165000000.0,99938000000.0,16629000000.0,61696000000.0,33908000000.0,5178000000.0,114423000000.0,215417000000.0,329840000000.0,16039000000.0,107754000000.0,105752000000.0,157806000000.0,265560000000.0,64280000000.0,10997000000.0,104414000000.0,-9646000000.0,-9849000000.0,-14338000000.0,-94328000000.0,136.96
2021-09-30,366295000000.0,212229000000.0,154066000000.0,21973000000.0,108949000000.0,94680000000.0,5.62,121463000000.0,108949000000.0,16487000000.0,62639000000.0,51506000000.0,6580000000.0,134836000000.0,216166000000.0,351002000000.0,17141000000.0,125481000000.0,119381000000.0,162431000000.0,287912000000.0,63090000000.0,11284000000.0,104038000000.0,-11085000000.0,-14545000000.0,-14467000000.0,-93353000000.0,141.5
2021-12-31,378697000000.0,215065000000.0,163632000000.0,22791000000.0,116903000000.0,100555000000.0,6.04,129099000000.0,116903000000.0,16392000000.0,63913000000.0,65253000000.0,5876000000.0,153154000000.0,228037000000.0,381191000000.0,16169000000.0,147574000000.0,106629000000.0,161685000000.0,309259000000.0,71932000000.0,11315000000.0,112241000000.0,-10388000000.0,-22067000000.0,-14586000000.0,-89263000000.0,177.57
