symbol,term,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing Cash Flow,Dividend,Financing Cash Flow,Price,Price_M1,Price_M2,Price_M3,name,name_kr,sector,industry,avg_volume
A,2019Q4,5163.0,2358.0,2805.0,1460.0,941.0,1071.0,3.39,1179.0,941.0,314.0,1382.0,930.0,679.0,3189.0,6263.0,9452.0,0.0,2080.0,1791.0,2624.0,4704.0,4748.0,238.0,1021.0,-155.0,-1590.0,0.67,-299.0,85.31,82.56,77.07,71.62,Agilent Technologies Inc,애질런트 테크놀로지스,Healthcare,Diagnostics & Research,1670500
AA,2019Q4,10433.0,8537.0,1896.0,280.0,-155.0,-1125.0,-6.06,558.0,-155.0,185.0,879.0,660.0,1644.0,3530.0,11101.0,14631.0,1.0,2563.0,1799.0,6182.0,8745.0,5886.0,713.0,686.0,-356.0,-468.0,,-444.0,21.51,13.95,13.87,6.16,Alcoa Corp,알코아,Basic Materials,Aluminum,3613570
AAIC,2019Q4,123.478,0.0,123.478,15.015,11.213,11.142,0.35000000000000003,134.926,108.463,35.709,19.636,81.862,71.199,138.621,3861.49,4000.11,3581.0,3598.02,74.328,74.843,3672.87,327.248,26.463,46.565,0.0,53.504,1.05,-107.146,5.57,5.68,5.66,2.19,Arlington Asset Investment Corp Class A,알링턴 에셋 인베스트먼트 Class A,Real Estate,Reit Mortgage,485667
AAL,2019Q4,45768.0,32654.0,13114.0,2004.0,3065.0,1686.0,3.81,3065.0,3065.0,443.363,3984.0,1750.0,1851.0,8206.0,51789.0,59995.0,2861.0,18311.0,21454.0,41802.0,60113.0,-118.0,2318.0,3815.0,-4214.0,-2243.0,0.4,-1568.0,28.68,26.84,19.05,12.19,American Airlines Group Inc,아메리칸 에어라인스 그룹,Industrials,Airlines,6321870
AAOI,2019Q4,190.872,144.671,46.201,51.549,-48.747,-66.049,-3.3,-23.841,-48.747,19.982,67.028,34.654,85.028,192.804,274.021,466.825,40.663,91.355,93.693,101.676,193.031,273.794,24.906,-1.754,-28.788,-32.116,,42.596,11.88,11.3,8.93,7.59,Applied Optoelectronics Inc,어플라이드 옵토일렉트로닉스,Technology,Semiconductors,425800
AAON,2019Q4,469.333,349.908,119.425,52.077,67.011,53.711,1.06,89.784,67.011,52.08,44.373,68.171,73.601,187.549,183.875,371.424,0.0,56.028,6.32,25.256,81.284,290.14,22.773,97.925,-37.097,-37.046,0.32,-18.5,49.41,52.44,55.01,48.32,Aaon Inc,에이에이온,Industrials,Building Products & Equipment,206233
AAP,2019Q4,9709.0,5454.26,4254.75,3577.57,677.181,486.896,6.88,915.552,677.181,70.869,418.665,689.469,4432.17,5695.54,5552.98,11248.5,478.0,4477.7,747.32,3221.74,7699.44,3549.08,238.371,866.909,-261.42,-462.939,0.24,-882.153,160.16,131.75,132.98,93.32,Advance Auto Parts Inc,어드밴스 오토 파츠,Consumer Cyclical,Specialty Retail,843567
AAPL,2019Q4,267683.0,166105.0,101578.0,18659.0,66153.0,57527.0,3.19,78121.0,66153.0,17660.2,107162.0,39946.0,4097.0,163231.0,177387.0,340618.0,15214.0,102161.0,93078.0,148926.0,251087.0,89531.0,11968.0,73217.0,-9247.0,26384.0,0.76,-102707.0,73.41,77.38,68.34,63.57,Apple Inc,애플,Technology,Consumer Electronics,109215000
AAT,2019Q4,366.741,91.967,274.774,24.871,113.685,45.718,0.86,211.357,113.685,54.111,109.451,64.187,,173.638,2616.7,2790.33,54.0,62.576,1365.98,1434.08,1496.66,1293.67,97.672,153.816,-80.136,-599.183,1.1400000000000001,497.546,45.9,45.56,41.45,25.0,American Assets Trust Inc,아메리칸 애셋츠 트러스트,Real Estate,Reit Diversified,332467
AAWW,2019Q4,2739.19,483.827,2255.36,789.022,-460.971,-293.113,-11.33,-144.394,-460.971,25.828,114.309,290.119,,632.531,4753.11,5385.64,395.781,1099.16,1984.9,2494.3,3593.46,1792.18,316.577,300.344,-337.49,-285.761,,-133.894,27.57,22.35,26.72,25.67,Atlas Air Worldwide Holdings Inc,아틀라스 에어 월드와이드 홀딩,Industrials,Airports & Air Services,528433
